Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
9817,Street Hoops,GC,2002,Sports,Activision,0.09,0.02,0,0,0.12
9822,Godzilla: Destroy All Monsters Melee,XB,2002,Fighting,Atari,0.09,0.03,0,0,0.12
9823,The Daring Game for Girls,DS,2010,Adventure,Majesco Entertainment,0.11,0,0,0.01,0.12
9842,Rocksmith,PC,2011,Misc,Ubisoft,0.06,0.04,0,0.01,0.12
9870,Major League Baseball 2K6,PSP,2006,Sports,Take-Two Interactive,0.11,0,0,0.01,0.12
9884,Power Gig: Rise of the SixString,X360,2010,Misc,Seven45 Studios,0.11,0,0,0.01,0.12
9983,Happy Feet Two,DS,2011,Action,Warner Bros. Interactive Entertainment,0.09,0.02,0,0.01,0.12
9999,Mystery P.I. - Portrait of a Thief,DS,2008,Adventure,PopCap Games,0.11,0,0,0.01,0.11
10047,Star Trek: Conquest,PS2,2007,Strategy,Bethesda Softworks,0.06,0.04,0,0.01,0.11
10196,Yoostar2,PS3,2011,Misc,Yoostar Entertainment Group,0.04,0.05,0,0.02,0.11
10244,AKB48+Me,3DS,2012,Action,Kadokawa Games,0,0,0.11,0,0.11
10274,GiFTPiA,GC,2003,Role-Playing,Nintendo,0,0,0.11,0,0.11
10359,Saigo no Yakusoku no Monogatari,PSP,2011,Role-Playing,Image Epoch,0,0,0.11,0,0.11
10364,Disney's Chicken Little: Ace In Action,Wii,2006,Shooter,Disney Interactive Studios,0.1,0,0,0.01,0.11
10384,Disney Channel Collection Vol. 1,GBA,2004,Misc,Majesco Entertainment,0.08,0.03,0,0,0.11
10467,Happy Feet Two,PS3,2011,Action,Warner Bros. Interactive Entertainment,0.09,0.01,0,0.01,0.1
10496,Atsumare! Power Pro Kun no DS Koushien,DS,2006,Sports,Konami Digital Entertainment,0,0,0.1,0,0.1
10556,Baten Kaitos Origins,GC,2006,Role-Playing,Nintendo,0.06,0.02,0.02,0,0.1
10561,My Healthy Cooking Coach,DS,2008,Simulation,Ubisoft,0.09,0,0,0.01,0.1
10692,Happy Feet Two,X360,2011,Action,Warner Bros. Interactive Entertainment,0.08,0.01,0,0.01,0.1
10735,Persona 5,PS3,2016,Role-Playing,Atlus,0,0,0.1,0,0.1
10760,Luminous Arc 2 (JP sales),DS,2008,Role-Playing,Marvelous Entertainment,0,0,0.1,0,0.1
10794,The Daring Game for Girls,Wii,2009,Adventure,Majesco Entertainment,0.09,0,0,0.01,0.1
10831,Egg Monster Hero,DS,2005,Role-Playing,Square Enix,0,0,0.09,0,0.09
10981,Samurai Shodown Anthology,PSP,2008,Fighting,Ignition Entertainment,0.08,0,0,0.01,0.09
10999,Demon Chaos,PS2,2005,Action,Konami Digital Entertainment,0,0,0.09,0,0.09
11078,Action Man-Operation Extreme,PS,2000,Action,Hasbro Interactive,0.05,0.03,0,0.01,0.09
11109,Thomas & Friends: Hero of the Rails,DS,2010,Misc,Barnstorm Games,0,0.07,0,0.01,0.09
11110,Super Puzzle Fighter II,GBA,1996,Puzzle,Capcom,0.06,0.02,0,0,0.09
11144,Happy Feet Two,Wii,2011,Action,Warner Bros. Interactive Entertainment,0.07,0.01,0,0.01,0.09
11277,Martian Panic,Wii,2010,Adventure,Funbox Media,0.08,0,0,0,0.08
11325,Charm Girls Club: My Fashion Show,DS,2009,Simulation,Electronic Arts,0.08,0,0,0.01,0.08
11333,Get Fit with Mel B,X360,2010,Sports,Black Bean Games,0,0.07,0,0.01,0.08
11378,Face Racers: Photo Finish,3DS,2011,Racing,Majesco Entertainment,0.08,0,0,0,0.08
11411,Zero: Tsukihami no Kamen,Wii,2008,Action,Nintendo,0,0,0.08,0,0.08
11457,The Hidden,3DS,2011,Adventure,Majesco Entertainment,0.08,0,0,0,0.08
11528,Cartoon Network Collection: Game Boy Advance Video Volume 2,GBA,2004,Misc,Majesco Entertainment,0.06,0.02,0,0,0.08
11545,Rock Revolution,Wii,2008,Misc,Konami Digital Entertainment,0.07,0,0,0.01,0.08
11575,Dead Island: Riptide,PC,2013,Action,Deep Silver,0,0.07,0,0.01,0.08
11602,The Golf Club,PS4,2014,Sports,Take-Two Interactive,0.05,0.02,0,0.01,0.08
11757,Mega Man Battle Network: Operation Shooting Star,DS,2009,Role-Playing,Capcom,0,0,0.07,0,0.07
11800,Smashing Drive,GC,2000,Racing,Namco Bandai Games,0.06,0.01,0,0,0.07
11891,Speed,Wii,2010,Racing,Zoo Games,0.04,0.02,0,0.01,0.07
11923,Dream Trigger 3D,3DS,2011,Shooter,D3Publisher,0.04,0.02,0,0.01,0.07
11940,Tornado,DS,2008,Action,Ignition Entertainment,0.07,0,0,0,0.07
11978,McFarlane's Evil Prophecy,PS2,2004,Action,Konami Digital Entertainment,0.03,0.03,0,0.01,0.07
12017,Drake of the 99 Dragons,XB,2003,Shooter,Majesco Entertainment,0.05,0.01,0,0,0.07
12029,Alpha and Omega,DS,2010,Action,Storm City Games,0.06,0,0,0,0.07
12030,Port Royale 3,PS3,2012,Simulation,Kalypso Media,0.06,0,0,0.01,0.07
12061,Fairy Tail: Zelef Kakusei,PSP,2012,Action,Konami Digital Entertainment,0,0,0.07,0,0.07
12129,Build-A-Bear Workshop: Friendship Valley,Wii,2010,Misc,Activision,0.06,0,0,0,0.07
12131,Alex Rider: Stormbreaker,DS,2006,Action,THQ,0.06,0,0,0,0.07
12137,Yoostar on MTV,X360,2011,Misc,Yoostar Entertainment Group,0.06,0,0,0,0.07
12186,Rayman Arena,XB,2002,Racing,Ubisoft,0.05,0.01,0,0,0.07
12214,National Geographic Challenge!,X360,2011,Misc,Ignition Entertainment,0.06,0,0,0,0.07
12240,Port Royale 3,X360,2012,Simulation,Kalypso Media,0.06,0,0,0,0.07
12250,Jewel Link Chronicles: Mountains of Madness,DS,2012,Puzzle,Avanquest,0,0.06,0,0.01,0.06
12300,Max & the Magic Marker,DS,2011,Platform,Microsoft Game Studios,0,0.06,0,0,0.06
12309,Kururin Paradise,GBA,2002,Puzzle,Nintendo,0,0,0.06,0,0.06
12489,Chou Soujuu Mecha MG,DS,2006,Simulation,Nintendo,0,0,0.06,0,0.06
12519,Prinny: Can I Really Be The Hero? (US sales),PSP,2008,Action,Nippon Ichi Software,0.06,0,0,0,0.06
12533,Combat Elite: WWII Paratroopers,PS2,2005,Shooter,SouthPeak Games,0.03,0.02,0,0.01,0.06
12535,Pheasants Forever Wingshooter,Wii,2010,Shooter,Nintendo,0.03,0.02,0,0,0.06
12628,Captain America: Super Soldier,Wii,2011,Action,Sega,0.05,0,0,0,0.06
12668,Flip's Twisted World,Wii,2010,Platform,Majesco Entertainment,0.05,0,0,0,0.06
12711,Mobile Ops: The One Year War,X360,2008,Simulation,Namco Bandai Games,0,0,0.06,0,0.06
12751,Tom Clancy's Rainbow Six: Critical Hour,XB,2006,Shooter,Ubisoft,0.04,0.01,0,0,0.06
12809,GRID,DS,2008,Racing,Codemasters,0.04,0.01,0,0,0.06
12827,Captain America: Super Soldier,DS,2011,Action,Sega,0.05,0,0,0,0.05
12881,Reader Rabbit 2nd Grade,Wii,2010,Misc,The Learning Company,0.05,0,0,0,0.05
12900,Samantha Swift and the Hidden Roses of Athena,DS,2010,Adventure,Mumbo Jumbo,0.04,0.01,0,0,0.05
12917,Mountain Bike Adrenaline,PS2,2007,Sports,Valcon Games,0.03,0.02,0,0.01,0.05
12924,Tour de France 2011,X360,2011,Racing,Focus Home Interactive,0,0.05,0,0.01,0.05
12931,Drill Dozer,GBA,2005,Platform,Nintendo,0.04,0.01,0,0,0.05
13057,Battle vs. Chess,PS3,2011,Misc,TopWare Interactive,0,0.04,0,0.01,0.05
13071,Kids Learn Music A+ Edition,DS,2011,Misc,Talking Stick Games,0.05,0,0,0,0.05
13113,Metal Max 2 Reloaded,DS,2011,Role-Playing,Kadokawa Shoten,0,0,0.05,0,0.05
13145,The Lost Treasures of Alexandria,DS,2011,Puzzle,Media Sales & Licensing,0,0.04,0,0.01,0.05
13158,The History Channel: Great Battles - Medieval,PS3,2011,Strategy,Slitherine Software,0,0.04,0,0.01,0.05
13280,Monster Hunter Frontier Online,PS3,2007,Role-Playing,Capcom,0,0,0.05,0,0.05
13473,Guilty Gear XX Accent Core,PS2,2007,Fighting,Arc System Works,0,0,0.04,0,0.04
13479,RollerCoaster Tycoon,PC,1999,Strategy,Microprose,0.02,0.02,0,0.01,0.04
13587,Max & the Magic Marker,Wii,2011,Platform,Easy Interactive,0,0.04,0,0,0.04
13644,Jewel Quest Mysteries 2: Trail of the Midnight Heart,DS,2011,Puzzle,iWin,0,0.04,0,0.01,0.04
13667,GRID,PC,2008,Racing,Codemasters,0,0.03,0,0.01,0.04
13674,B.L.U.E.: Legend of Water,PS,1998,Adventure,Hudson Soft,0,0,0.04,0,0.04
13677,Luxor: Pharaoh's Challenge,Wii,2007,Puzzle,Funsta,0.01,0.03,0,0,0.04
13711,Men of War: Vietnam,PC,2011,Strategy,1C Company,0,0.03,0,0.01,0.04
13735,NHL Hitz Pro,GC,2003,Sports,Midway Games,0.03,0.01,0,0,0.04
13738,North American Hunting Extravaganza 2,Wii,2010,Sports,Destineer,0.03,0,0,0,0.04
13759,Test Drive: Ferrari Legends,PS3,2012,Racing,Atari,0.04,0,0,0,0.04
13812,Gummy Bears Mini Golf,Wii,2010,Sports,Storm City Games,0.04,0,0,0,0.04
13822,Time Travelers,3DS,2012,Adventure,Level 5,0,0,0.04,0,0.04
13872,Sega Rally 2006,PS2,2006,Racing,Sega,0,0,0.04,0,0.04
13932,Train Simulator 2016,PC,2015,Simulation,dovetail games,0,0.04,0,0,0.04
13964,World of Tanks,X360,2010,Shooter,Wargaming.net,0,0.03,0,0,0.04
13985,Worms: Ultimate Mayhem,PC,2011,Strategy,Team17 Software,0,0.03,0,0,0.04
14032,Jane's Hotel,DS,2010,Simulation,Zoo Games,0.03,0,0,0,0.04
14048,Swords,Wii,2007,Fighting,Square Enix,0.03,0,0,0,0.04
14057,Half-Minute Hero 2,PSP,2011,Role-Playing,Rising Star Games,0,0,0.04,0,0.04
14058,Clockwork Empires,PC,2016,Strategy,Gaslamp Games,0,0.03,0,0,0.04
14089,Housekeeping,DS,2010,Action,Namco Bandai Games,0,0,0.04,0,0.04
14100,Major League Baseball 2K8,PSP,2008,Sports,Take-Two Interactive,0.03,0,0,0,0.03
14111,Gekiatsu!! Pachi Game Tamashi: CR Evangelion - Hajimari no Fukuin,PS3,2010,Misc,Namco Bandai Games,0,0,0.03,0,0.03
14158,Clash of Elementalists,3DS,2013,Action,Teyon,0,0.03,0,0,0.03
14162,Sabre Wulf,GBA,2004,Platform,THQ,0.02,0.01,0,0,0.03
14183,Junior Island Adventure,DS,2011,Puzzle,Maximum Family Games,0.03,0,0,0,0.03
14252,The Binding of Isaac,PC,2012,Action,Headup Games,0,0.03,0,0,0.03
14257,Beastly,Wii,2011,Misc,Storm City Games,0.03,0,0,0,0.03
14276,Beyond the Labyrinth,3DS,2012,Role-Playing,Konami Digital Entertainment,0,0,0.03,0,0.03
14296,Foto Showdown,DS,2010,Role-Playing,Konami Digital Entertainment,0.03,0,0,0,0.03
14299,Bikkuriman Daijiten,DS,2007,Misc,Three O'clock,0,0,0.03,0,0.03
14314,Silverlicious,DS,2012,Action,GameMill Entertainment,0.03,0,0,0,0.03
14315,Majesty 2: The Fantasy Kingdom Sim,X360,2009,Simulation,1C Company,0.03,0,0,0,0.03
14355,LEGO Legends of Chima: Laval's Journey,DS,2013,Adventure,Warner Bros. Interactive Entertainment,0,0.03,0,0,0.03
14374,Super Meat Boy: Ultra Edition!,PC,2011,Platform,Team Meat,0,0.02,0,0.01,0.03
14380,Fullmetal Alchemist: Brotherhood,PSP,2010,Action,Namco Bandai Games,0,0,0.03,0,0.03
14407,Take On Helicopters,PC,2011,Simulation,Bohemia Interactive,0,0.02,0,0.01,0.03
14476,Combat Elite: WWII Paratroopers,XB,2005,Shooter,SouthPeak Games,0.02,0.01,0,0,0.03
14525,Samurai Spirits: Tenkaichi Kenkakuden,PS2,2005,Fighting,SNK Playmore,0,0,0.03,0,0.03
14564,Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa,PSP,2011,Misc,Fields,0,0,0.03,0,0.03
14579,Heroes of Hellas 2: Olympia,DS,2012,Puzzle,Alawar Entertainment,0,0.03,0,0,0.03
14586,Battle vs. Chess,PC,2011,Misc,TopWare Interactive,0,0.02,0,0.01,0.03
14620,Gekiatsu!! Pachi Game Tamashi Vol. 2: CR Evangelion - Shinjitsu no Tsubasa,PS3,2011,Misc,Fields,0,0,0.03,0,0.03
14643,Ao no Kanata no Four Rhythm,PSV,2016,Adventure,Kadokawa Shoten,0,0,0.03,0,0.03
14679,Tom and Jerry in War of the Whiskers,XB,2002,Fighting,NewKidCo,0.02,0.01,0,0,0.03
14699,Super Duper Sumos,GBA,2003,Action,Midway Games,0.02,0.01,0,0,0.03
14701,UK Truck Simulator,PC,2010,Simulation,Excalibur Publishing,0,0.03,0,0,0.03
14763,The Golf Club,XOne,2014,Sports,Take-Two Interactive,0.02,0,0,0,0.03
14777,Farm Frenzy 3,DS,2011,Strategy,iWin,0,0.02,0,0,0.03
14847,Magicka Collection,PC,2011,Adventure,Paradox Interactive,0,0.02,0,0,0.03
14848,Bookworm,GBA,2004,Puzzle,PopCap Games,0.02,0.01,0,0,0.03
14852,Legacy of Ys: Books I & II,DS,2009,Role-Playing,Hudson Soft,0.02,0,0,0,0.03
14858,The King of Fighters: Maximum Impact - Maniax,XB,2004,Fighting,SNK Playmore,0.02,0.01,0,0,0.03
14879,Combat Wings: The Great Battles of WWII,Wii,2012,Simulation,City Interactive,0.02,0,0,0,0.03
14928,Tube Slider,GC,2003,Racing,NEC Interchannel,0.02,0,0,0,0.02
14937,Vampire Mansion: Linda Hyde,DS,2011,Adventure,Easy Interactive,0,0.02,0,0,0.02
14945,Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,PS3,2011,Adventure,Alchemist,0,0,0.02,0,0.02
15000,Wii de Asobu: Metroid Prime,Wii,2009,Shooter,Nintendo,0,0,0.02,0,0.02
15001,Payout Poker & Casino,PSP,2006,Misc,Namco Bandai Games,0.02,0,0,0,0.02
15002,Wii de Asobu: Metroid Prime,Wii,2009,Shooter,Nintendo,0,0,0.02,0,0.02
15059,Xia-Xia,DS,2012,Platform,GameMill Entertainment,0,0.02,0,0,0.02
15066,Blender Bros.,GBA,2002,Platform,Infogrames,0.02,0.01,0,0,0.02
15160,Ukiyo no Roushi,PSV,2015,Action,Spike,0,0,0.02,0,0.02
15166,Cities in Motion Collection,PC,2011,Simulation,Paradox Interactive,0,0.02,0,0,0.02
15180,Love Once: Mermaid's Tears,PS3,2011,Adventure,D3Publisher,0,0,0.02,0,0.02
15187,Sengoku Otome: Legend Battle,PSV,2016,Action,Planet G,0,0,0.02,0,0.02
15200,Saint,Wii,2009,Shooter,UFO Interactive,0.02,0,0,0,0.02
15211,Steal Princess,DS,2008,Platform,Marvelous Interactive,0.02,0,0,0,0.02
15264,Mario Tennis,3DS,2000,Sports,Nintendo,0,0,0.02,0,0.02
15270,Dungeon Defenders,PC,2011,Role-Playing,Chromatic Games ,0.02,0,0,0,0.02
15276,Thomas & Friends: Hero of the Rails,Wii,2010,Misc,Majesco Entertainment,0,0.02,0,0,0.02
15319,Runaway: A Twist of Fate,DS,2009,Adventure,Focus Home Interactive,0,0.02,0,0,0.02
15326,Meikyuu Cross Blood: Reloaded,X360,2011,Action,Experience Inc.,0,0,0.02,0,0.02
15328,Nicktoons Collection: Game Boy Advance Video Volume 3,GBA,2005,Misc,Majesco Entertainment,0.01,0.01,0,0,0.02
15338,Mystery Tales 2: The Spirit Mask,DS,2011,Puzzle,Easy Interactive,0,0.02,0,0,0.02
15347,Airport Simulator,PC,2011,Simulation,UIG Entertainment,0,0.02,0,0,0.02
15351,Disney Sports Football,GBA,2002,Sports,Konami Digital Entertainment,0.01,0.01,0,0,0.02
15356,Demolition Company: Gold Edition,PC,2011,Simulation,Excalibur Publishing,0,0.02,0,0,0.02
15454,UFO: Trilogy,PC,2007,Strategy,1C Company,0,0.02,0,0,0.02
15479,Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,2009,Racing,Konami Digital Entertainment,0,0,0.02,0,0.02
15551,Wild West Shootout,Wii,2010,Shooter,Zoo Games,0.01,0.01,0,0,0.02
15567,Tantei Opera: Milky Holmes,PSP,2010,Adventure,BushiRoad,0,0,0.02,0,0.02
15582,Cabela's Alaskan Adventure,PS2,2006,Sports,Activision,0.01,0.01,0,0,0.02
15609,Writing and Speaking Beautiful Japanese DS,DS,2007,Misc,IE Institute,0,0,0.02,0,0.02
15655,Virtua Quest,PS2,2004,Role-Playing,Sega,0.01,0.01,0,0,0.02
15700,Shonen Jump's Yu-Gi-Oh! GX Card Almanac,DS,2007,Misc,Konami Digital Entertainment,0,0,0.02,0,0.02
15720,Without Warning,XB,2005,Shooter,Capcom,0.01,0,0,0,0.02
15741,Clue / Mouse Trap / Perfection / Aggravation,DS,2006,Misc,"Destination Software, Inc",0.02,0,0,0,0.02
15742,Football Manager 2007,X360,2007,Sports,Sega,0,0.01,0,0,0.02
15791,"Moshi, Kono Sekai ni Kami-sama ga Iru to suru Naraba.",PSV,2016,Adventure,Rejet,0,0,0.02,0,0.02
15814,Ferrari: The Race Experience,Wii,2010,Racing,System 3 Arcade Software,0,0.01,0,0,0.02
15839,The Dark Hills of Cherai,PC,2009,Puzzle,Big Fish Games,0,0.01,0,0,0.02
15868,PDC World Championship Darts 2008,DS,2008,Sports,Oxygen Interactive,0.01,0,0,0,0.02
15879,Dinotopia: The Sunstone Odyssey,GC,2003,Action,TDK Mediactive,0.01,0,0,0,0.02
15881,Dance! It's Your Stage,Wii,2008,Misc,DTP Entertainment,0,0.01,0,0,0.02
15903,Jet Impulse,DS,2007,Simulation,Nintendo,0,0,0.02,0,0.02
15918,Dream Dancer,DS,2009,Misc,Zoo Games,0.01,0,0,0,0.02
16005,Red Stone DS: Akaki Ishi ni Michibikareshi Monotachi,DS,2011,Role-Playing,Nintendo,0,0,0.01,0,0.01
16060,PDC World Championship Darts 2008,PSP,2008,Sports,Oxygen Interactive,0.01,0,0,0,0.01
16061,WRC: FIA World Rally Championship,PC,2010,Racing,Black Bean Games,0,0.01,0,0,0.01
16068,Aquaman: Battle for Atlantis,XB,2003,Action,TDK Mediactive,0.01,0,0,0,0.01
16149,Fuuraiki 3,PSV,2015,Action,Nippon Ichi Software,0,0,0.01,0,0.01
16174,Dark Parables: The Exiled Prince,PC,2011,Puzzle,Big Fish Games,0,0.01,0,0,0.01
16194,Homeworld Remastered Collection,PC,2015,Strategy,THQ,0,0.01,0,0,0.01
16197,Shorts,DS,2009,Platform,Majesco Entertainment,0.01,0,0,0,0.01
16201,AKB1/48: Idol to Guam de Koishitara...,X360,2011,Misc,Namco Bandai Games,0,0,0.01,0,0.01
16203,Hyakka Yakou,PSV,2015,Action,Idea Factory,0,0,0.01,0,0.01
16211,Super Robot Monkey Team: Game Boy Advance Video Volume 1,GBA,2005,Misc,Majesco Entertainment,0.01,0,0,0,0.01
16232,Brothers in Arms: Furious 4,X360,2011,Shooter,Ubisoft,0.01,0,0,0,0.01
16238,Shitsuji ga Aruji o Erabu Toki,PSV,2016,Adventure,TGL,0,0,0.01,0,0.01
16249,Agarest Senki: Re-appearance,PS3,2008,Role-Playing,Idea Factory,0,0,0.01,0,0.01
16289,War for the Overworld,PC,2015,Strategy,Brightrock Games,0,0.01,0,0,0.01
16310,Freaky Flyers,GC,2003,Racing,Midway Games,0.01,0,0,0,0.01
16330,Inversion,PC,2012,Shooter,Namco Bandai Games,0.01,0,0,0,0.01
16369,Hakuouki: Shinsengumi Kitan,PS3,2013,Adventure,Idea Factory,0.01,0,0,0,0.01
16370,Dance with Devils,PSV,2016,Action,Square Enix,0,0,0.01,0,0.01
16427,Real Crimes: The Unicorn Killer,DS,2011,Puzzle,Big Fish Games,0,0.01,0,0,0.01
16430,Virtua Quest,GC,2004,Role-Playing,Sega,0.01,0,0,0,0.01
16463,"Horse Life 4: My Horse, My Friend, My Champion",3DS,2015,Action,Atari,0,0.01,0,0,0.01
16496,The Smurfs,3DS,2015,Action,Ubisoft,0,0.01,0,0,0.01
16497,Legends of Oz: Dorothy's Return,3DS,2014,Puzzle,GameMill Entertainment,0,0.01,0,0,0.01
16535,STORM: Frontline Nation,PC,2011,Strategy,Ascaron Entertainment GmbH,0,0.01,0,0,0.01
16546,Driving Simulator 2011,PC,2011,Racing,Excalibur Publishing,0,0.01,0,0,0.01
16548,The Treasures of Mystery Island 3 Pack - Save Mystery Island!,PC,2011,Puzzle,Alawar Entertainment,0.01,0,0,0,0.01
16556,Bound By Flame,X360,2014,Role-Playing,Focus Home Interactive,0,0.01,0,0,0.01
16584,Fit & Fun,Wii,2011,Sports,bitComposer Games,0,0.01,0,0,0.01